# Version 1.00
#
freq[Hz]	db:Trc1_S11	ang:Trc1_S11	
1.000000000000000E+010	-4.128488187605597E+000	4.630699005209716E+001	
1.001000000000000E+010	-4.029129353370737E+000	2.623266203613930E+001	
1.002000000000000E+010	-4.065119187031036E+000	5.722560140015426E+000	
1.003000000000000E+010	-4.225617960845399E+000	-1.473756814531741E+001	
1.004000000000000E+010	-4.488859512910855E+000	-3.277509334490470E+001	
1.005000000000000E+010	-4.782992785965013E+000	-4.886277964303937E+001	
1.006000000000000E+010	-4.990631781137465E+000	-6.430920806896170E+001	
1.007000000000000E+010	-5.052463967654082E+000	-7.960603039776564E+001	
1.008000000000000E+010	-4.926957255112089E+000	-9.513211817587791E+001	
1.009000000000000E+010	-4.628278689443929E+000	-1.114926558421255E+002	
1.010000000000000E+010	-4.224576162469928E+000	-1.292552152749434E+002	
1.011000000000000E+010	-3.823492311317658E+000	-1.490578531203600E+002	
1.012000000000000E+010	-3.584241699225900E+000	-1.699186365651004E+002	
1.013000000000000E+010	-3.594964193992354E+000	1.690313773879801E+002	
1.014000000000000E+010	-3.817142171659767E+000	1.489694213746667E+002	
1.015000000000000E+010	-4.133934998442018E+000	1.303740334658446E+002	
1.016000000000000E+010	-4.428336256000296E+000	1.131387368927752E+002	
1.017000000000000E+010	-4.622178174561258E+000	9.488432114058921E+001	
1.018000000000000E+010	-4.674924461887629E+000	7.634288400058439E+001	
1.019000000000000E+010	-4.603174305261305E+000	5.739255825037448E+001	
1.020000000000000E+010	-4.438916156390620E+000	3.769994485041368E+001	
1.021000000000000E+010	-4.268371769365435E+000	1.701500897850998E+001	
1.022000000000000E+010	-4.180167778825036E+000	-4.565175290884693E+000	
1.023000000000000E+010	-4.265860382855249E+000	-2.523084264580749E+001	
1.024000000000000E+010	-4.518036894203097E+000	-4.392602867200481E+001	
1.025000000000000E+010	-4.848250192109580E+000	-6.149032575783458E+001	
1.026000000000000E+010	-5.128587097779968E+000	-7.796467293336656E+001	
1.027000000000000E+010	-5.287995686205817E+000	-9.368277593381841E+001	
1.028000000000000E+010	-5.265757631523802E+000	-1.090881121305085E+002	
1.029000000000000E+010	-5.053697770853987E+000	-1.248259572874085E+002	
1.030000000000000E+010	-4.693507805935258E+000	-1.400937332867429E+002	
1.031000000000000E+010	-4.224051594850839E+000	-1.568049380833888E+002	
1.032000000000000E+010	-3.780546939552754E+000	-1.752287008888825E+002	
1.033000000000000E+010	-3.517033774238687E+000	1.649941500631786E+002	
1.034000000000000E+010	-3.515105911905539E+000	1.448205891832774E+002	
1.035000000000000E+010	-3.756839340178571E+000	1.255636969719841E+002	
1.036000000000000E+010	-4.095715837450355E+000	1.056258242742525E+002	
1.037000000000000E+010	-4.414427349953040E+000	8.562154311892226E+001	
1.038000000000000E+010	-4.599262291146435E+000	6.648165108704478E+001	
1.039000000000000E+010	-4.620438412503119E+000	4.756321950773864E+001	
1.040000000000000E+010	-4.486484898606349E+000	2.827728579961444E+001	
1.041000000000000E+010	-4.273678183137186E+000	8.166848534690658E+000	
1.042000000000000E+010	-4.108606734101451E+000	-1.284122618114347E+001	
1.043000000000000E+010	-4.088863132064890E+000	-3.377881205725849E+001	
1.044000000000000E+010	-4.267317653087095E+000	-5.456301470861317E+001	
1.045000000000000E+010	-4.591921054374508E+000	-7.430093743967601E+001	
1.046000000000000E+010	-4.951667589314042E+000	-9.263057294817484E+001	
1.047000000000000E+010	-5.227761334069060E+000	-1.097949778156632E+002	
1.048000000000000E+010	-5.354189223959486E+000	-1.261067002352740E+002	
1.049000000000000E+010	-5.327463886677202E+000	-1.394261798978340E+002	
1.050000000000000E+010	-5.105632511850206E+000	-1.524592290029636E+002	
1.051000000000000E+010	-4.698279366105540E+000	-1.664150225712038E+002	
1.052000000000000E+010	-4.180394077335306E+000	1.779277922765177E+002	
1.053000000000000E+010	-3.688081151361719E+000	1.603827704474348E+002	
1.054000000000000E+010	-3.393299196504545E+000	1.410948454652813E+002	
1.055000000000000E+010	-3.390419957821508E+000	1.198924392176032E+002	
1.056000000000000E+010	-3.659732953160080E+000	9.718428533541913E+001	
1.057000000000000E+010	-4.060634430528374E+000	7.604445406151238E+001	
1.058000000000000E+010	-4.422079521594284E+000	5.636503778744505E+001	
1.059000000000000E+010	-4.590861150719568E+000	3.767951487661420E+001	
1.060000000000000E+010	-4.544704379449938E+000	1.924073386248353E+001	
1.061000000000000E+010	-4.333066183570359E+000	7.170226209990795E-001	
1.062000000000000E+010	-4.045657220825901E+000	-1.946862928818162E+001	
1.063000000000000E+010	-3.780571605343300E+000	-4.082731063937799E+001	
1.064000000000000E+010	-3.657442329177474E+000	-6.306562434262295E+001	
1.065000000000000E+010	-3.747951962973037E+000	-8.532648633762366E+001	
1.066000000000000E+010	-4.032302631561334E+000	-1.066870519188751E+002	
1.067000000000000E+010	-4.403178345835531E+000	-1.266612367271325E+002	
1.068000000000000E+010	-4.791724927149192E+000	-1.435246084079221E+002	
1.069000000000000E+010	-5.088023174991280E+000	-1.582214565108952E+002	
1.070000000000000E+010	-5.238299140004301E+000	-1.724379015486293E+002	
1.071000000000000E+010	-5.219548749352086E+000	1.732645653850692E+002	
1.072000000000000E+010	-5.035415529185983E+000	1.582982602933267E+002	
1.073000000000000E+010	-4.743896580858054E+000	1.420545950150482E+002	
1.074000000000000E+010	-4.423914759596318E+000	1.243258382769592E+002	
1.075000000000000E+010	-4.178151728954989E+000	1.054279525184290E+002	
1.076000000000000E+010	-4.090457945606770E+000	8.558264515431007E+001	
1.077000000000000E+010	-4.155577759067599E+000	6.573018458362498E+001	
1.078000000000000E+010	-4.321198637365679E+000	4.641179408795648E+001	
1.079000000000000E+010	-4.451186331008218E+000	2.809235039461044E+001	
1.080000000000000E+010	-4.489028154658059E+000	1.055467656670345E+001	
1.081000000000000E+010	-4.371667677106219E+000	-8.290398467327346E+000	
1.082000000000000E+010	-4.175960003131271E+000	-2.802557601685598E+001	
1.083000000000000E+010	-3.981220595562474E+000	-4.838264924391172E+001	
1.084000000000000E+010	-3.882528492331040E+000	-6.937924409736839E+001	
1.085000000000000E+010	-3.952539482958627E+000	-9.051578308717537E+001	
1.086000000000000E+010	-4.177103865290477E+000	-1.110509492572467E+002	
1.087000000000000E+010	-4.492137279987835E+000	-1.297613180803698E+002	
1.088000000000000E+010	-4.786622136008393E+000	-1.458754059584935E+002	
1.089000000000000E+010	-5.010279401832997E+000	-1.609135186240606E+002	
1.090000000000000E+010	-5.112408145354769E+000	-1.755074971235390E+002	
1.091000000000000E+010	-5.068475374600181E+000	1.699594038890883E+002	
1.092000000000000E+010	-4.875458323173620E+000	1.549113108625371E+002	
1.093000000000000E+010	-4.593351884434981E+000	1.386204026524937E+002	
1.094000000000000E+010	-4.335877944432498E+000	1.211118564170878E+002	
1.095000000000000E+010	-4.143132332368360E+000	1.020275649557555E+002	
1.096000000000000E+010	-4.095490843009565E+000	8.197224888711195E+001	
1.097000000000000E+010	-4.218002942941224E+000	6.170901580654043E+001	
1.098000000000000E+010	-4.410507804694491E+000	4.206823446310128E+001	
1.099000000000000E+010	-4.574753912903140E+000	2.348196353108065E+001	
1.100000000000000E+010	-4.589078215772103E+000	4.097204794761383E+000	
1.101000000000000E+010	-4.445809586641512E+000	-1.586369050723176E+001	
1.102000000000000E+010	-4.198297175757168E+000	-3.600143602824647E+001	
1.103000000000000E+010	-3.904376735072748E+000	-5.664438279972872E+001	
1.104000000000000E+010	-3.669476989744885E+000	-7.801074951009545E+001	
1.105000000000000E+010	-3.591377639079284E+000	-9.985501593781198E+001	
1.106000000000000E+010	-3.723597206192938E+000	-1.208780244243692E+002	
1.107000000000000E+010	-4.026837788417969E+000	-1.394001646277202E+002	
1.108000000000000E+010	-4.415450542192917E+000	-1.564742453975572E+002	
1.109000000000000E+010	-4.772689187349111E+000	-1.722458464429479E+002	
1.110000000000000E+010	-5.032485485176701E+000	1.728220131198781E+002	
1.111000000000000E+010	-5.141212960154463E+000	1.581604033615406E+002	
1.112000000000000E+010	-5.079811941310005E+000	1.431435838179144E+002	
1.113000000000000E+010	-4.893952539957842E+000	1.284719144800527E+002	
1.114000000000000E+010	-4.624386512698572E+000	1.125092335223000E+002	
1.115000000000000E+010	-4.367517024228661E+000	9.463569611514589E+001	
1.116000000000000E+010	-4.217258608026853E+000	7.512785214421898E+001	
1.117000000000000E+010	-4.222822378141419E+000	5.495095441962428E+001	
1.118000000000000E+010	-4.345223947546200E+000	3.513295645821830E+001	
1.119000000000000E+010	-4.468380087890977E+000	1.525160559124511E+001	
1.120000000000000E+010	-4.533304881243689E+000	-5.198653697995677E+000	
1.121000000000000E+010	-4.479234447463839E+000	-2.475111445890044E+001	
1.122000000000000E+010	-4.281612320815631E+000	-4.362468930649370E+001	
1.123000000000000E+010	-3.947609759283215E+000	-6.279096310368427E+001	
1.124000000000000E+010	-3.581103871529484E+000	-8.284136356745974E+001	
1.125000000000000E+010	-3.301385148305256E+000	-1.039465002901270E+002	
1.126000000000000E+010	-3.240149098360773E+000	-1.255979063734146E+002	
1.127000000000000E+010	-3.435654141679915E+000	-1.469981233061943E+002	
1.128000000000000E+010	-3.842501128570023E+000	-1.672592250939437E+002	
1.129000000000000E+010	-4.281796464434909E+000	1.740305580949517E+002	
1.130000000000000E+010	-4.678488833275991E+000	1.567596936397223E+002	
1.131000000000000E+010	-4.941660780449626E+000	1.405312497747365E+002	
1.132000000000000E+010	-5.095496020117802E+000	1.265072339958290E+002	
1.133000000000000E+010	-5.133843784040381E+000	1.132256785215328E+002	
1.134000000000000E+010	-5.018163720502709E+000	9.879616682761258E+001	
1.135000000000000E+010	-4.794917247378673E+000	8.268255898359118E+001	
1.136000000000000E+010	-4.539515763873559E+000	6.479170677737015E+001	
1.137000000000000E+010	-4.341017199266228E+000	4.558393285099012E+001	
1.138000000000000E+010	-4.245303987838672E+000	2.559972875044474E+001	
1.139000000000000E+010	-4.240946922313558E+000	5.053757179912664E+000	
1.140000000000000E+010	-4.277748028422979E+000	-1.437580020843198E+001	
1.141000000000000E+010	-4.261816732407657E+000	-3.269458127447840E+001	
1.142000000000000E+010	-4.124724419675776E+000	-5.082894499727786E+001	
1.143000000000000E+010	-3.877606730048088E+000	-6.905275829263262E+001	
1.144000000000000E+010	-3.543647416441508E+000	-8.791638715507523E+001	
1.145000000000000E+010	-3.233967319856796E+000	-1.087774213075212E+002	
1.146000000000000E+010	-3.068479209116541E+000	-1.308951427139847E+002	
1.147000000000000E+010	-3.140444296165979E+000	-1.531698349500312E+002	
1.148000000000000E+010	-3.429217564813546E+000	-1.745165348359700E+002	
1.149000000000000E+010	-3.860960202893355E+000	1.656530755987701E+002	
1.150000000000000E+010	-4.289022265383007E+000	1.475426982265603E+002	
1.151000000000000E+010	-4.637418368239951E+000	1.322406702397427E+002	
1.152000000000000E+010	-4.894750244490410E+000	1.194318267284366E+002	
1.153000000000000E+010	-5.008518801866048E+000	1.063628721746931E+002	
1.154000000000000E+010	-4.971446450816391E+000	9.228197361655583E+001	
1.155000000000000E+010	-4.818573345846094E+000	7.658450268258494E+001	
1.156000000000000E+010	-4.604299597304127E+000	5.911684027616948E+001	
1.157000000000000E+010	-4.421134980611347E+000	3.993742764548264E+001	
1.158000000000000E+010	-4.312971689285236E+000	1.852240144982083E+001	
1.159000000000000E+010	-4.321370853769572E+000	-2.463794263380158E+000	
1.160000000000000E+010	-4.364639477708736E+000	-2.234792133237388E+001	
1.161000000000000E+010	-4.347102496476698E+000	-4.085978609974251E+001	
1.162000000000000E+010	-4.201532334345639E+000	-5.804725144004533E+001	
1.163000000000000E+010	-3.918234549906392E+000	-7.473673230740944E+001	
1.164000000000000E+010	-3.583288032143881E+000	-9.271707448648671E+001	
1.165000000000000E+010	-3.268282140324394E+000	-1.124104874243693E+002	
1.166000000000000E+010	-2.985630345937724E+000	-1.331283336955005E+002	
1.167000000000000E+010	-2.849726917274447E+000	-1.546213790254822E+002	
1.168000000000000E+010	-2.949570294367439E+000	-1.762988126770391E+002	
1.169000000000000E+010	-3.242529112788689E+000	1.629705318953412E+002	
1.170000000000000E+010	-3.627276430490483E+000	1.442512655829488E+002	
1.171000000000000E+010	-3.981314254302385E+000	1.289917756411122E+002	
1.172000000000000E+010	-4.303408303901199E+000	1.144437873231778E+002	
1.173000000000000E+010	-4.522844511550827E+000	9.989345669211943E+001	
1.174000000000000E+010	-4.625656457693067E+000	8.479164034466750E+001	
1.175000000000000E+010	-4.609886026472108E+000	6.836876903410942E+001	
1.176000000000000E+010	-4.515665666266127E+000	5.033015845019269E+001	
1.177000000000000E+010	-4.398911917110118E+000	3.037123961477706E+001	
1.178000000000000E+010	-4.349421080964937E+000	9.292546709274824E+000	
1.179000000000000E+010	-4.383833933236999E+000	-1.184373351071311E+001	
1.180000000000000E+010	-4.456031909281383E+000	-3.210250936299669E+001	
1.181000000000000E+010	-4.467246448970117E+000	-5.059061873845522E+001	
1.182000000000000E+010	-4.342628379621660E+000	-6.670095015068065E+001	
1.183000000000000E+010	-4.071110469982290E+000	-8.292594882898779E+001	
1.184000000000000E+010	-3.672426363149748E+000	-1.009857884690825E+002	
1.185000000000000E+010	-3.112410178753903E+000	-1.194370324980003E+002	
1.186000000000000E+010	-2.495421893886048E+000	-1.389864751909292E+002	
1.187000000000000E+010	-1.952827736948496E+000	-1.598683787761720E+002	
1.188000000000000E+010	-1.666666708802835E+000	1.780458827336441E+002	
1.189000000000000E+010	-1.734608779807877E+000	1.557808215665299E+002	
1.190000000000000E+010	-2.206903312647922E+000	1.358169551408512E+002	
1.191000000000000E+010	-2.869797381585861E+000	1.173482768339418E+002	
1.192000000000000E+010	-3.541813251087959E+000	1.003638731064385E+002	
1.193000000000000E+010	-4.136108033631520E+000	8.417868057989622E+001	
1.194000000000000E+010	-4.575370203904158E+000	6.818915719343474E+001	
1.195000000000000E+010	-4.841567727330034E+000	5.161378937670563E+001	
1.196000000000000E+010	-4.947227844053642E+000	3.521430387798212E+001	
1.197000000000000E+010	-4.887291402725689E+000	1.818489372942626E+001	
1.198000000000000E+010	-4.724124941665990E+000	-4.242030776738038E-001	
1.199000000000000E+010	-4.548170683988382E+000	-1.989557135317622E+001	
1.200000000000000E+010	-4.423106648569989E+000	-3.915096135736255E+001	
1.201000000000000E+010	-4.358418163211900E+000	-5.740362509150015E+001	
1.202000000000000E+010	-4.296823495529405E+000	-7.480683883590757E+001	
1.203000000000000E+010	-4.189181025430411E+000	-9.309448485623942E+001	
1.204000000000000E+010	-3.944693591438277E+000	-1.106346309686520E+002	
1.205000000000000E+010	-3.578559084735319E+000	-1.280920030647147E+002	
1.206000000000000E+010	-3.123949369478478E+000	-1.460396559845060E+002	
1.207000000000000E+010	-2.678413294598972E+000	-1.649723996552698E+002	
1.208000000000000E+010	-2.369987969991502E+000	1.750172032018334E+002	
1.209000000000000E+010	-2.336317520844943E+000	1.539025647831348E+002	
